PlotNumber,PlotId,Parameter, Year, Range
11,HEG11,rH_200, 2009,11-12
45,HEG45,rH_200, 2009,01-12
45,HEG45,rH_200, 2010,01-12
27,HEG27,rH_200, 2011,08-12
34,HEG34,rH_200, 2011,06-12
42,HEG42,rH_200, 2011,01-12
45,HEG45,rH_200, 2011,01-12
27,HEG27,rH_200, 2012,01-12
34,HEG34,rH_200, 2012,01-02
41,HEG41,rH_200, 2012,06-11
42,HEG42,rH_200, 2012,01-09
33,HEG33,Ta_10, 2009,10-12
06,HEG06,Ta_10, 2010,07-08
14,HEG14,Ta_10, 2010,09-12
18,HEG18,Ta_10, 2010,10-12
20,HEG20,Ta_10, 2010,02
20,HEG20,Ta_10, 2010,11-12
45,HEG45,Ta_10, 2010,09-12
47,HEG47,Ta_10, 2010,01-12
11,HEG11,Ta_10, 2011,04-12
20,HEG20,Ta_10, 2011,08-12
27,HEG27,Ta_10, 2011,01
47,HEG47,Ta_10, 2011,01-12
18,HEG18,Ta_10, 2012,01-10
20,HEG20,Ta_10, 2012,01-02
26,HEG26,Ta_10, 2012,11-12
27,HEG27,Ta_10, 2012,08-12
49,HEG49,Ta_200, 2009,05-06
11,HEG11,Ta_200, 2010,01-12
34,HEG34,Ta_200, 2011,06-12
24,HEG24,Ta_200, 2012,06
27,HEG27,Ta_200, 2012,06-12
34,HEG34,Ta_200, 2012,01-02
41,HEG41,Ta_200, 2012,08-11
03,HEG03,Ts_5, 2009,02-03
04,HEG04,Ts_5, 2009,04-05
13,HEG13,Ts_5, 2009,03
47,HEG47,Ts_5, 2009,12
14,HEG14,Ts_5, 2010,08-12
18,HEG18,Ts_5, 2010,08-12
20,HEG20,Ts_5, 2010,03-04
20,HEG20,Ts_5, 2010,10-11
46,HEG46,Ts_5, 2010,09-12
47,HEG47,Ts_5, 2010,03-12
48,HEG48,Ts_5, 2010,03-12
11,HEG11,Ts_5, 2011,04-12
20,HEG20,Ts_5, 2011,08-12
47,HEG47,Ts_5, 2011,01-12
18,HEG18,Ts_5, 2012,01-12
20,HEG20,Ts_5, 2012,01-03
26,HEG26,Ts_5, 2012,11-12
03,HEG03,Ts_10, 2009,02-03
12,HEG12,Ts_10, 2009,01-02
33,HEG33,Ts_10, 2009,09-12
35,HEG35,Ts_10, 2009,11-12
47,HEG47,Ts_10, 2009,12
05,HEG05,Ts_10, 2010,04-08
14,HEG14,Ts_10, 2010,08-12
18,HEG18,Ts_10, 2010,07-12
20,HEG20,Ts_10, 2010,01-12
33,HEG33,Ts_10, 2010,01-12
47,HEG47,Ts_10, 2010,03-12
48,HEG48,Ts_10, 2010,01-12
01,HEG01,Ts_10, 2011,01
11,HEG11,Ts_10, 2011,04-12
20,HEG20,Ts_10, 2011,08-12
27,HEG27,Ts_10, 2011,01-12
47,HEG47,Ts_10, 2011,01-12
16,HEG16,Ts_10, 2012,02
20,HEG20,Ts_10, 2012,01-03
26,HEG26,Ts_10, 2012,10-12
02,HEG02,Ts_20, 2009,03
03,HEG03,Ts_20, 2009,01-03
04,HEG04,Ts_20, 2009,03
06,HEG06,Ts_20, 2009,03
08,HEG08,Ts_20, 2009,01-03
12,HEG12,Ts_20, 2009,01-03
13,HEG13,Ts_20, 2009,03
20,HEG20,Ts_20, 2009,10-11
29,HEG29,Ts_20, 2009,03
31,HEG31,Ts_20, 2009,04
33,HEG33,Ts_20, 2009,11-12
35,HEG35,Ts_20, 2009,11-12
40,HEG40,Ts_20, 2009,03
47,HEG47,Ts_20, 2009,01
47,HEG47,Ts_20, 2009,11-12
48,HEG48,Ts_20, 2009,12
06,HEG06,Ts_20, 2010,04-11
14,HEG14,Ts_20, 2010,08-12
20,HEG20,Ts_20, 2010,04
26,HEG26,Ts_20, 2010,01
33,HEG33,Ts_20, 2010,01-12
46,HEG46,Ts_20, 2010,09-12
47,HEG47,Ts_20, 2010,03-12
48,HEG48,Ts_20, 2010,04-12
01,HEG01,Ts_20, 2011,01
04,HEG04,Ts_20, 2011,11-12
11,HEG11,Ts_20, 2011,04-12
17,HEG17,Ts_20, 2011,11-12
20,HEG20,Ts_20, 2011,01
20,HEG20,Ts_20, 2011,08-12
23,HEG23,Ts_20, 2011,11
27,HEG27,Ts_20, 2011,01-12
47,HEG47,Ts_20, 2011,01-12
04,HEG04,Ts_20, 2012,03
16,HEG16,Ts_20, 2012,01-02
20,HEG20,Ts_20, 2012,01-03
26,HEG26,Ts_20, 2012,10-12
31,HEG31,Ts_20, 2012,12
50,HEG50,Ts_20, 2012,12
01,HEG01,Ts_50, 2009,02-03
02,HEG02,Ts_50, 2009,06
03,HEG03,Ts_50, 2009,01-05
05,HEG05,Ts_50, 2009,03
05,HEG05,Ts_50, 2009,06-08
06,HEG06,Ts_50, 2009,01-04
07,HEG07,Ts_50, 2009,02-03
09,HEG09,Ts_50, 2009,02-03
10,HEG10,Ts_50, 2009,03
12,HEG12,Ts_50, 2009,01-12
13,HEG13,Ts_50, 2009,02-03
17,HEG17,Ts_50, 2009,03
17,HEG17,Ts_50, 2009,11-12
18,HEG18,Ts_50, 2009,11-12
21,HEG21,Ts_50, 2009,03-04
23,HEG23,Ts_50, 2009,01-03
24,HEG24,Ts_50, 2009,03
25,HEG25,Ts_50, 2009,03-09
31,HEG31,Ts_50, 2009,04-12
32,HEG32,Ts_50, 2009,01-04
33,HEG33,Ts_50, 2009,02-12
34,HEG34,Ts_50, 2009,08-12
35,HEG35,Ts_50, 2009,08-12
37,HEG37,Ts_50, 2009,04
38,HEG38,Ts_50, 2009,03-07
40,HEG40,Ts_50, 2009,03-10
41,HEG41,Ts_50, 2009,06-07
42,HEG42,Ts_50, 2009,03
43,HEG43,Ts_50, 2009,02
44,HEG44,Ts_50, 2009,05
46,HEG46,Ts_50, 2009,02-05
47,HEG47,Ts_50, 2009,11-12
48,HEG48,Ts_50, 2009,11-12
49,HEG49,Ts_50, 2009,06-07
01,HEG01,Ts_50, 2010,01-03
05,HEG05,Ts_50, 2010,05-12
07,HEG07,Ts_50, 2010,03
07,HEG07,Ts_50, 2010,09
07,HEG07,Ts_50, 2010,11
08,HEG08,Ts_50, 2010,03-09
13,HEG13,Ts_50, 2010,06
14,HEG14,Ts_50, 2010,07-12
17,HEG17,Ts_50, 2010,01-04
18,HEG18,Ts_50, 2010,05-12
19,HEG19,Ts_50, 2010,01-09
20,HEG20,Ts_50, 2010,03-12
21,HEG21,Ts_50, 2010,01-06
23,HEG23,Ts_50, 2010,06-08
24,HEG24,Ts_50, 2010,09
27,HEG27,Ts_50, 2010,12
31,HEG31,Ts_50, 2010,01-12
32,HEG32,Ts_50, 2010,07-08
33,HEG33,Ts_50, 2010,01-12
35,HEG35,Ts_50, 2010,01-03
40,HEG40,Ts_50, 2010,08-12
41,HEG41,Ts_50, 2010,07-10
45,HEG45,Ts_50, 2010,06-12
47,HEG47,Ts_50, 2010,04-12
48,HEG48,Ts_50, 2010,01-07
01,HEG01,Ts_50, 2011,01-03
01,HEG01,Ts_50, 2011,07-12
02,HEG02,Ts_50, 2011,02-03
03,HEG03,Ts_50, 2011,07-12
04,HEG04,Ts_50, 2011,01
04,HEG04,Ts_50, 2011,11-12
07,HEG07,Ts_50, 2011,09-12
11,HEG11,Ts_50, 2011,02-12
13,HEG13,Ts_50, 2011,05-09
19,HEG19,Ts_50, 2011,07
20,HEG20,Ts_50, 2011,01-12
25,HEG25,Ts_50, 2011,03
25,HEG25,Ts_50, 2011,06
25,HEG25,Ts_50, 2011,08
27,HEG27,Ts_50, 2011,01-12
29,HEG29,Ts_50, 2011,02-12
30,HEG30,Ts_50, 2011,02-03
35,HEG35,Ts_50, 2011,01
38,HEG38,Ts_50, 2011,02-03
38,HEG38,Ts_50, 2011,07
40,HEG40,Ts_50, 2011,02-03
40,HEG40,Ts_50, 2011,10
41,HEG41,Ts_50, 2011,06-08
43,HEG43,Ts_50, 2011,02-03
43,HEG43,Ts_50, 2011,08-12
47,HEG47,Ts_50, 2011,07-12
04,HEG04,Ts_50, 2012,01-09
07,HEG07,Ts_50, 2012,03
13,HEG13,Ts_50, 2012,06
16,HEG16,Ts_50, 2012,01-04
17,HEG17,Ts_50, 2012,03-07
18,HEG18,Ts_50, 2012,01-09
19,HEG19,Ts_50, 2012,01-07
20,HEG20,Ts_50, 2012,01-07
21,HEG21,Ts_50, 2012,04-07
26,HEG26,Ts_50, 2012,07-12
31,HEG31,Ts_50, 2012,01-07
32,HEG32,Ts_50, 2012,02-05
35,HEG35,Ts_50, 2012,06-07
40,HEG40,Ts_50, 2012,03-09
44,HEG44,Ts_50, 2012,07
49,HEG49,Ts_50, 2012,01-03
